#Id	SuperClass	RefName
1	Humanities	Humanities
1.1	Humanities	Human history
1.1.1	Human history	African history
1.1.2	Human history	American history
1.1.3	Human history	Ancient history
1.1.4	Human history	History of Australia|Australian History
1.1.5	Human history	History of Asia|Asian History
1.1.6	Human history	History of Europe|European History
1.1.7	Human history	History of China|Chinese history
1.1.8	Human history	Economic history of the world|Economic history
1.1.9	Human history	Ancient Greece|Greek history
1.1.10	Human history	History of Iran|Iranian history
1.1.11	Human history	History of India|Indian history
1.1.12	Human history	History of Indonesia|Indonesian history
1.1.13	Human history	Intellectual history
1.1.14	Human history	History of Latin America|Latin American History
1.1.15	Human history	Modern history
1.1.16	Human history	History of political thought|Political History
1.1.17	Human history	Pre-Columbian era
1.1.18	Human history	Ancient Rome|Roman History
1.1.19	Human history	History of Russia|Russian History
1.1.20	Human history	History of Science|Scientific History
1.1.21	Human history	History of Technology|Technological History
1.1.22	Human history	World history
1.2	Humanities	Linguistics
1.2.1	Linguistics	Languages
1.2.1.1	Languages	Business English
1.2.1.2	Languages	Classical language
1.2.1.3	Languages	Modern language
1.2.1.4	Languages	Standard English
1.2.1.5	Languages	New Englishes|World Englishes
1.2.2	Linguistics	Applied Linguistics
1.2.3	Linguistics	Computational linguistics
1.2.4	Linguistics	Discourse analysis
1.2.5	Linguistics	Etymology
1.2.6	Linguistics	Historical linguistics
1.2.7	Linguistics	History of linguistics
1.2.8	Linguistics	Interlinguistics
1.2.9	Linguistics	Morphology (linguistics)|Morphology
1.2.10	Linguistics	Philology
1.2.11	Linguistics	Phonetics
1.2.12	Linguistics	Phonology
1.2.13	Linguistics	Pragmatics
1.2.14	Linguistics	Semantics
1.2.15	Linguistics	Semiotics
1.2.16	Linguistics	Sociolinguistics
1.2.17	Linguistics	Syntax
1.2.18	Linguistics	Composition studies
1.2.19	Linguistics	Rhetoric#Modern rhetoric|Rhetoric
1.3	Humanities	Literature
1.3.1	Literature	Poetry
1.3.2	Literature	Comparative literature
1.3.3	Literature	English literature
1.3.4	Literature	World literature
1.3.4.1	World literature	American literature
1.3.4.2	World literature	British literature
1.3.5	Literature	Historical
1.3.5.1	Historical	Medieval literature
1.3.5.2	Historical	Post-colonial literature
1.3.5.3	Historical	Post-modern literature
1.3.6	Literature	Literary theory
1.3.6.1	Literary theory	Critical theory
1.3.6.2	Literary theory	Literary criticism
1.3.6.3	Literary theory	Poetics
1.3.6.4	Literary theory	Rhetoric
1.3.7	Literature	Creative writing
1.3.7.1	Creative writing	Creative nonfiction
1.3.7.2	Creative writing	Fiction
1.3.7.3	Creative writing	Non-fiction
1.3.7.4	Creative writing	Literary journalism
1.3.7.5	Creative writing	Poetry
1.3.7.6	Creative writing	Screenwriting
1.3.7.7	Creative writing	Playwrighting
1.4	Humanities	Arts
1.4.1	Arts	Arts administration
1.4.2	Arts	Music
1.4.2.1	Music	Accompaniment|Accompanying
1.4.2.2	Music	Chamber music
1.4.2.3	Music	Church music
1.4.2.4	Music	Musical composition
1.4.2.5	Music	Conducting
1.4.2.5.1	Conducting	Choir|Choral conducting
1.4.2.5.2	Conducting	Orchestra|Orchestral conducting
1.4.2.5.3	Conducting	Concert band|Wind ensemble conducting
1.4.2.6	Music	Early music
1.4.2.7	Music	Jazz|Jazz studies
1.4.2.8	Music	Music education
1.4.2.9	Music	Music history
1.4.2.10	Music	Music theory
1.4.2.11	Music	Musicology
